20.2553 262.935 100.00 34.461 
25.6860 268.730 102.33 45.373 
23.4297 284.090 105.33 38.556 
28.7463 289.162 108.89 46.439 
33.4484 299.894 113.08 57.175 
37.5813 302.695 117.97 66.982 
33.7839 318.197 124.34 63.934 
41.8725 309.103 129.94 80.935 
46.4795 316.051 137.77 101.79 
42.5448 298.249 150.12 99.389 
44.2212 354.671 157.48 89.607 
50.5451 394.532 164.00 114.12 
60.1461 403.942 172.74 133.73 
51.3114 417.252 189.93 92.190 
37.7306 433.927 206.13 59.820
51.7772 457.885 216.85 77.620 
64.1659 529.141 226.93 97.880 
59.5739 531.144 241.82 105.05 
63.4884 524.435 266.07 117.98 
75.3032 531.040 302.74 151.14 
99.7795 517.860 359.96 202.34 
94.8671 538.769 404.48 195.84 
115.308 777.332 440.68 232.41 
141.316 787.357 482.42 278.60 
150.181 907.712 522.84 247.35 
197.829 1200.63 566.08 324.39 
234.755 1469.45 605.20 348.81 
247.080 1424.91 646.17 330.47 
288.116 1522.40 702.77 381.38 
379.409 1804.63 762.16 454.82
367.636 1944.25 817.87 373.84 
479.633 2320.64 854.10 586.34 
516.178 2490.97 879.04 676.95 
568.202 2816.40 905.06 776.80 
575.705 2610.12 954.39 751.96 
792.042 3287.27 1007.84 1052.1 
973.897 3291.58 1061.15 1291.0 
1298.82 3687.33 1119.51 1570.3 
1670.01 4220.24 1171.91 2192.7 
2021.40 3903.32 1234.02 4069.3 
1837.36 4575.33 1313.00 2470.5 
1618.98 4827.26 1336.89 1950.4 
1261.18 5558.40 1353.47 1335.5 
1622.94 5588.19 1366.73 2003.4
